"text","emotion","polarity"
"1","meniscus injury research should give hope tofans after theinjury","unknown","neutral"
"2","prayers to","unknown","positive"
"3","derrick rose will return the strength of the mighty will bestrength chicago empire","unknown","positive"
"4","oo poor","sadness","negative"
"5","prayers to","unknown","positive"
"6","im sick over theinjury he has been through so much and deserves better fate has intervened again for this g","disgust","neutral"
"7","prayers to","unknown","positive"
"8","man i feel really bad for your torn knee you cant give up keep your head up keep calm fight and carry on youll be back","sadness","negative"
"9","your still gonna be my favorite player man","unknown","positive"
"10","prayers to","unknown","positive"
"11","thank youthe real fans love youand always will youll be back you were born to play basketball","joy","positive"
"12","prayers to","unknown","positive"
"13","and theface an important decision to repair or to debride the meniscus","unknown","positive"
"14","people act like you can control injuries if it wasnt for it no doubtwould still be on that court beingof the best","joy","positive"
"15","prayers to","unknown","positive"
"16","will always be an mvp but with his latest injury we fear its time to say goodbye","fear","negative"
"17","prayfordrose god got him and he coming back strong","sadness","positive"
"18","prayers to","unknown","positive"
"19","will always be an mvp but with his latest injury we fear its time to say goodbye","fear","negative"
"20","prayers to","unknown","positive"
"21","prayers to","unknown","positive"
"22","prayers to","unknown","positive"
"23","prayers to","unknown","positive"
"24","prayers to","unknown","positive"
"25","is not bae","unknown","positive"
"26","and theface an important decision to repair or to debride the meniscus","unknown","positive"
"27","what did i know and when did i know it","unknown","positive"
"28","its hard to seeinjures again on his knee change the rehab dont do the same again look for other solutions good luck","joy","neutral"
"29","this is heartbreakingmuch respect for my mantho","joy","positive"
"30","will always be an mvp but with his latest injury we fear its time to say goodbye","fear","negative"
"31","will always be an mvp but with his latest injury we fear its time to say goodbye","fear","negative"
"32","lets gettit partof the road to recovery","unknown","negative"
"33","hard work isnt enough you got to believe thereturn","unknown","neutral"
"34","will always be an mvp but with his latest injury we fear its time to say goodbye","fear","negative"
"35","hang in man only u can beat this but take the option of cutting the bad part of the meniscus out amp u can be back for the playoffs","sadness","neutral"
"36","i was up early thinking about how time goes by i miss the times i had at the university of memphis with my teammates and how mu","unknown","negative"
"37","had memphis will always be my second home no matter what yall showed me a lot of love and for that i will always stay loyal to","joy","positive"
"38","who comes back first to play for their teamor","unknown","positive"
"39","im sick over theinjury he has been through so much and deserves better fate has intervened again for this g","disgust","neutral"
"40","will always be an mvp but with his latest injury we fear its time to say goodbye","fear","negative"
"41","im sick over theinjury he has been through so much and deserves better fate has intervened again for this g","disgust","neutral"
"42","withdown again what could be next for the former nbamvp","unknown","positive"
"43","im sick over theinjury he has been through so much and deserves better fate has intervened again for this g","disgust","neutral"
"44","god bless youif anyone knows what youre going through its me stay strong man","sadness","positive"
"45","so sad forhes a beast and he will be on his feet again","sadness","negative"
"46","chi town til i die","joy","positive"
"47","derrick rosegetwellsoon unfair","unknown","negative"
"48","bulls will win thring withor for him period","unknown","positive"
"49","what doand i have in common not our first trip to kneesurgery heres how we can help","unknown","negative"
"50","prayers up forman god got you believe that","sadness","positive"
"51","just extra motivation this isnt over yet","unknown","positive"
"52","always going to backits just a shame it went down this way","sadness","negative"
"53","sayhas a torn meniscus will require surgery and looks to miss remainder of season bulls nba drose","unknown","neutral"
"54","thank you","unknown","positive"
"55","heres a tbt to when my buddy amp i made avid a couple years agoget better mandrose chicago","joy","neutral"
"56","just extra motivation this isnt over yet","unknown","positive"
"57","someone needs to put together the pieces of the puzzle amp find out whats causing s injuries comeseeme bulls","joy","neutral"
"58","want to wish to my broa speedy recovery godbless bestrong","unknown","positive"
"59","dude just retire youre embarrassing yourself now","unknown","negative"
"60","just realized the city of chicago lostandwithinhours of each other windycity badluck chitownsports","unknown","positive"
"61","i hopebounces back from this injury","unknown","neutral"
"62","thank you","unknown","positive"
"63","will use this as fuel i pray for him daily","unknown","positive"
"64","thats rude","unknown","negative"
"65","you are my best superstar man i hope you get better god bless you","sadness","positive"
"66","will use this as fuel i pray for him daily","unknown","positive"
"67","hold ya head bruh","unknown","positive"
"68","did you guys see d roses new car its a wheelchair","unknown","positive"
"69","to early","unknown","positive"
"70","st star player in the nba i practiced ownership of most exciting moments for a home team ive watched thanks","joy","positive"
"71","prayers up forman god got you believe that","sadness","positive"
"72","get well soonyour citys still behind you and cant wait to see you on the court","sadness","neutral"
"73","bye byefuck yu","unknown","positive"
"74","dem joints tight my next pair","unknown","positive"
"75","do thehave it in them to pull it off withonly time will tell not looking so good after last nights performance","joy","neutral"
"76","a real street nigga just finessed dafa all that damn moneygot good hella indorsemeant","joy","positive"
"77","yoyou just need to retire","unknown","negative"
"78","sorry for calling you a pussy","sadness","negative"
"79","come back strong","unknown","positive"
"80","feel bad for to the lakers next season","sadness","negative"
"81","the drose invideos are not funny idk why but people sure do like to kick a man when hes down all the best","joy","neutral"
"82","everyfan is feeling forand team after yet another serious knee injurygreat athletegreat per","surprise","negative"
"83","sorry for calling you a pussy","sadness","negative"
"84","sorry for calling you a pussy","sadness","negative"
"85","can we please getout ofshoes savedrose","joy","positive"
"86","ay famyou see this yetyall are taking this too far","unknown","positive"
"87","i dont care what anyone says i still and always will have hope for d rose","joy","positive"
"88","have you looked at prp plasma rich protein therapy kobe did it for injury and helped its natural and cutting edge treatment","unknown","neutral"
"89","drose needs nikes simple","unknown","positive"
"90","ampdark injury days","unknown","negative"
"91","lolaso","unknown","positive"
"92","praying for my boyjust a temporary setback i know hell make it back even stronger","unknown","positive"
"93","ay famyou see this yettrippin","unknown","positive"
"94","keep your head up derrick rose praying for you bro you can do it let get a ring this year go bulls god will bring you out of this mvp","sadness","neutral"
"95","ay famyou see this yet","unknown","positive"
"96","videooffers his support toyoure going to come back even strongerhttp","unknown","positive"
"97","teammates fellow players sad over derrick roses injury","sadness","negative"
"98","god damn","sadness","negative"
"99","got tickets for the bulls mavs game at pba heyandhope youre ready for the","unknown","neutral"
"100","drose inyears","unknown","positive"
"101","im glad i sawin high school and college priceless experience now","anger","positive"
"102","rose has a long road ahead","unknown","negative"
"103","fan for life jersey is a must","unknown","positive"
"104","so much disrespect foryet he plays hisout because he loves this city get well soon bulls thanksdrose","sadness","negative"
"105","rose has a long road ahead","unknown","negative"
"106","he might not b outthe entire season he could b back withtoweeks","unknown","positive"
"107","smd lil nigga","unknown","positive"
"108","youre gonna see him graduate rt my lil man pj","unknown","positive"
"109","ay famyou see this yet","unknown","positive"
"110","you did your best for your seasons all the best for your third surgery forever mvpchicagobulls","unknown","positive"
"111","world premiere the return of d rose every dayis getting stronger and faster this is his story","unknown","positive"
"112","chris paul ass man","unknown","positive"
"113","the internet is not a friendly place forright now damn nochill","joy","neutral"
"114","shave your head so you can see your son graduate","unknown","positive"
"115","best pizza in chicago thats easy","unknown","positive"
"116","inyears","unknown","positive"
"117","its about time you came to chicago","unknown","positive"
"118","fuck drose you know who im bout","unknown","positive"
"119","say anything boutand im on ya ass","unknown","positive"
"120","god bless youif anyone knows what youre going through its me stay strong man","sadness","positive"
"121","praying for my boyjust a temporary setback i know hell make it back even stronger","unknown","positive"
"122","i dont know ifwill see drose inbut i hope he does","unknown","positive"
"123","yoi can step in for the otherif you need help at the point","unknown","neutral"
"124","reacts to s injury watch","unknown","negative"
"125","got tickets for the bulls mavs game at pba heyandhope youre ready for the","unknown","neutral"
"126","nigga you define trash af","unknown","positive"
"127","bro you got me heated","anger","positive"
"128","bro when you gone get good and healthy we dont want one or the other we want both is that too much too ask damn boy","anger","negative"
"129","they playing witchu bra","unknown","positive"
"130","nigga you like glass fragile","joy","neutral"
"131","wishingstara speedy recovery","unknown","positive"
"132","bye byefuck yu","unknown","positive"
"133","videooffers his support toyoure going to come back even stronger","unknown","positive"
"134","drose will never play another full season","unknown","positive"
"135","i really feel bad forgod bless and good luck on a speedy recovery","joy","positive"
"136","i can be what youre looking for chicago","unknown","positive"
"137","i am a big d rose fan and i support him but the meniscus has to go lets start a movementtakethemeniscusoutrose bullsnation","unknown","positive"
"138","anybody trying to catch this work in k","joy","positive"
"139","sorry for dissing you derrick get well soon chicagobasketball for life in sickness and in health love ya","sadness","negative"
"140","inyears","unknown","positive"
"141","praying for youi know this kills you inside but remember the city of chicago is behind you prayfordrose http","unknown","positive"
"142","time to retire and count your money","unknown","negative"
"143","pls pray for","unknown","positive"
"144","get well soonprayfordrose","sadness","negative"
"145","get well","sadness","negative"
"146","whats the most important thing in life to me its familyif you take away the fame amp fortune theyre the ones that will alw","unknown","positive"
"147","drose inyears","unknown","positive"
"148","im not a hugefan but im pretty surepissed off an old gypsy woman after his mvp season cursed","unknown","neutral"
"149","still in shockout again with another knee injury chin upbullsnation","unknown","negative"
"150","ay famyou see this yet","unknown","positive"
"151","fan for life jersey is a must","unknown","positive"
"152","man prayers out toget bout the game at this points its what hes goin thru as a person hold ya head homie you the man no matter what","unknown","negative"
"153","im glad i sawin high school and college priceless experience now","anger","positive"
"154","cant get no better then this manrespect","sadness","neutral"
"155","fan for life jersey is a must","unknown","positive"
"156","this is heartbreakingmuch respect for my mantho","joy","positive"
"157","this is heartbreakingmuch respect for my mantho","joy","positive"
"158","tired of reading aboutbeing done his knees are bad hell have to change his game but hesyears old staypositive","disgust","negative"
"159","dear lt dan where did you get your magic legs asking for a friend cc","anger","positive"
"160","all these injuries and niggas still cant hold","unknown","positive"
"161","nba players send their condolences to d rose after injury news","unknown","negative"
"162","praying for my boyjust a temporary setback i know hell make it back even stronger","unknown","positive"
"163","btw i hope you have a speedy recovery amp believe in god knowing that everything happens for a reasonkeep your","sadness","positive"
"164","idk what ur goin thru but u still have some chicago fans that will still have ur bck no matter what i wish u a speedy recovery","unknown","positive"
"165","our hearts are with youget well soon","unknown","positive"
"166","god bless youif anyone knows what youre going through its me stay strong man","sadness","positive"
"167","no one knows how it feels to be you until they are in your shoes heart goes out togodspeed","joy","positive"
"168","dear lt dan where did you get your magic legs asking for a friend cc","anger","positive"
"169","health is a gift of life it is something you receive and continue to receive each day tell that to","unknown","positive"
"170","prayers up for derrick roseget well soon","unknown","positive"
"171","you are not losing you are not failing you are simply between the dream","unknown","negative"
"172","you were good for likeseason","joy","positive"
"173","i still love yoult what every chicago bulls fan would like to say to derrick rose","joy","positive"
"174","derrick rose do us all a favor and just retire youve played what maybegame in the last pastseasons injuryprone","joy","negative"
"175","lova u will all be special to me","unknown","positive"
"176","didnt you learn anything fromthat these returnroadback videos might not be the best idea","unknown","positive"
"177","thats why he is my favorite humble head uprespect to derrick rose","unknown","positive"
"178","sneakerwatch nba players send their condolences to d rose after injury news","unknown","negative"
"179","ya like extending the careers of athletes such asampdmztalks","joy","positive"
"180","why are niggas on saying thisnext season","unknown","positive"
"181","u guys have no clue how much respect i have for","joy","positive"
"182","im sick over theinjury he has been through so much and deserves better fate has intervened again for this g","disgust","neutral"
"183","get healthy soon","sadness","negative"
"184","been following drose sincenot giving up on him yet get well soon","sadness","negative"
"185","get wellof theyoull be back sorry in advance for the rant neverquit rtshowsupport htt","sadness","negative"
"186","ya like extending the careers of athletes such asampdmztalks","joy","positive"
"187","is correct about our chicagosupport forour luv amp support is undying for him","unknown","positive"
"188","this is heartbreakingmuch respect for my mantho","joy","positive"
"189","pray for derrickrose getwellstarveforgreatnessbebacksoon","unknown","positive"
"190","fan for life jersey is a must","unknown","positive"
"191","nba players send their condolences to d rose after injury news","unknown","negative"
"192","pray for derrickrose getwellstarveforgreatnessbebacksoon","unknown","positive"
"193","i hopebounces back from this injury","unknown","neutral"
"194","pray for derrickrose getwellstarveforgreatnessbebacksoon","unknown","positive"
"195","you are the trillist unlikethe ultimate conformist","unknown","positive"
"196","sayingis allen iverson but coachable isof the stupidest things ive heard forwell never know how great rose cld be","joy","positive"
"197","still my favorite player in the league regardless getbetterhomie","unknown","positive"
"198","hope everything is well man die hard rosebulls fan no stress man hope you get better its in gods hands bulls seered","sadness","neutral"
"199","pray for derrickrose getwellstarveforgreatnessbebacksoon","unknown","positive"
"200","is just as bad at twitter as","sadness","neutral"
"201","heyfans youll be fine without","unknown","positive"
"202","this will be you next yearget well soon","unknown","positive"
"203","still the best giva about none of that","unknown","neutral"
"204","time to grind harder amp play smarteryouve beat this before youll beat it again staystrong strive through adversity ycantyou","surprise","negative"
"205","yeah just join me in rehabwell drink the pain away","unknown","neutral"
"206","this will be you next yearget well soon","unknown","positive"
"207","a good reason to respect","joy","positive"
"208","nba players send their condolences to d rose after injury news","unknown","negative"
"209","keep it upand youll be walking likein no time badknees poorguy sadface i can still play bro","anger","positive"
"210","smfhcoincidence or shots atlol sorry i had to","sadness","negative"
"211","have held exploratory conversations with nate robinson afterinjurynba bulls naterobinson","unknown","positive"
"212","i was up early thinking about how time goes by i miss the times i had at the university of memphis with my teammates and how mu","unknown","negative"
"213","nawwww lol yosignplease","unknown","positive"
"214","thinking about you man","unknown","positive"
"215","stop playing basketball you get hurt all the time","sadness","negative"
"216","stay strongill never stop supporting getwellderrick","unknown","positive"
"217","brotherhood getwelldrose","joy","positive"
"218","its a sad day in sports when your favorite basketball player gets hurtand your fav baseball player relapsessmh","sadness","neutral"
"219","amen to this ode towishing you the best and a speedy recovery w","unknown","positive"
"220","heyfans youll be fine without","unknown","positive"
"221","ay famyou see this yeti cant deal","unknown","positive"
"222","always remaining humble no matter what people say about him respect","joy","positive"
"223","i went throught the same exact thingwithinyears iknow how you feel bro stay up","anger","negative"
"224","tough times fall on thewith the announcement ofsurgery read about it here","unknown","negative"
"225","you know who else fell down three times jesus rose will return resurrection roseagain","unknown","neutral"
"226","keepingin my prayers stay strong man","unknown","positive"
"227","get well","sadness","negative"
"228","you want to talk mental and physical strength thatsgetwellsoon","unknown","positive"
"229","they did drose wrong funny tho","unknown","neutral"
"230","was d rose elite hell yes i pray he gets there again nba robbed wo him healthy best wishes to him","unknown","positive"
"231","this is heartbreakingmuch respect for my mantho","joy","positive"
"232","ay famyou see this yetsaid that last night lol","unknown","negative"
"233","right now","unknown","positive"
"234","will use this as fuel i pray for him daily","unknown","positive"
"235","wait what what","unknown","positive"
"236","im sick about theinjury if i know one thing about him hes a hard worker and will bounce back","disgust","negative"
"237","im sitting here just thinking how sad it is that my city got to go through this i love my city and everyone in it even my hate","anger","neutral"
"238","i know you love the moneybut fuck","joy","positive"
"239","with another major injury toour writers look at the outlook for the","unknown","negative"
"240","videooffers his support toyoure going to come back even strongerhttp","unknown","positive"
"241","is the realist dude out there a true basketball player i hope to see you out on the court soon man","unknown","positive"
"242","they did drose wrong funny tho","unknown","neutral"
"243","thehas a meniscus tear in his right knee and needs surgery","sadness","positive"
"244","keepingin my prayers stay strong man","unknown","positive"
"245","ay famyou see this yet","unknown","positive"
"246","sucks to hear such terrible news my thoughts and prayers go out toand his family get well soon","fear","negative"
"247","praying for my boyjust a temporary setback i know hell make it back even stronger","unknown","positive"
"248","i really feel bad forgod bless and good luck on a speedy recovery","joy","positive"
"249","you from chicago boy you is built for shit like this","joy","neutral"
"250","this is heartbreakingmuch respect for my mantho","joy","positive"
"251","i really feel bad forgod bless and good luck on a speedy recovery","joy","positive"
"252","d pritned maniscus implantget well soon fella drose","unknown","positive"
"253","players tweet well wishes toon his recovery from a knee injury","unknown","neutral"
"254","heyfans youll be fine without","unknown","positive"
"255","cold showingin game mishaps because he tore his meniscus like he wasnt killin while he was healthy letemlive","joy","neutral"
"256","this is heartbreakingmuch respect for my mantho","joy","positive"
"257","call me crazy also but i still believe into be our numberguy for","unknown","negative"
"258","i used to be like you then i took an arrow to the knee","joy","positive"
"259","is not done yet","unknown","positive"
"260","u guys should trade meniscuss","unknown","positive"
"261","d rose keep your faith in god hes in control and you will be just fine","sadness","positive"
"262","so what stage ofinjury grief r u in personally im in the watchrusshighlightsnactlikerosewilldothatagain phase","fear","negative"
"263","this is heartbreakingmuch respect for my mantho","joy","positive"
"264","try to keep a sane head bro the best is in front of you not behind","anger","positive"
"265","whether trending or nahis the greatest basketball player to play the game hands down well take him over whom you have all day","unknown","positive"
"266","ay famyou see this yet","unknown","positive"
"267","got tickets for the bulls mavs game at pba heyandhope youre ready for the","unknown","neutral"
"268","praying for you and your mind if you stay strong and truly believe everything will be ok we will as well you got","unknown","positive"
"269","whats the most important thing in life to me its familyif you take away the fame amp fortune theyre the ones that will alw","unknown","positive"
"270","keep your head up bro","anger","positive"
"271","you already know your still the best pg in the game","unknown","positive"
"272","derrick rose respectand imo this is whyshould be the most respected a","unknown","positive"
"273","wishing chicago superstarsandspeedy recoveries","unknown","positive"
"274","derrick rose respectand imo this is whyshould be the most respected a","unknown","positive"
"275","im sitting here just thinking how sad it is that my city got to go through this i love my city and everyone in it even my hate","anger","neutral"
"276","keep your head up my brotherprayers are with you","unknown","positive"
"277","i really feel bad forgod bless and good luck on a speedy recovery","joy","positive"
"278","still behindno matter what hell be back","unknown","negative"
"279","derrick rose respectand imo this is whyshould be the most respected athlete ever","unknown","positive"
"280","gotta respect","joy","positive"
"281","god bless youif anyone knows what youre going through its me stay strong man","sadness","positive"
"282","watched the drose dunks onthis am beforeandwere doing it there wasand like that gone","joy","positive"
"283","will use this as fuel i pray for him daily","unknown","positive"
"284","im sick over theinjury he has been through so much and deserves better fate has intervened again for this g","disgust","neutral"
"285","this is whyis my favorite player in the nba and has been since he left memphis","unknown","neutral"
"286","rt in sec or this will happen to youretire or you face this one day","unknown","positive"
"287","stay","unknown","positive"
"288","chi town til i die","joy","positive"
"289","yo keep your head up homie youll be back","unknown","positive"
"290","chi town til i die","joy","positive"
"291","looking at meniscus injury research should give hope tofans after theinjury","unknown","neutral"
"292","wishing chicago superstarsandspeedy recoveries","unknown","positive"
"293","in the gym working out listening to born sinneryou made me a believer i appreciate yo music ill be supporting june","joy","neutral"
"294","is better then","unknown","positive"
"295","wrongname for luis scola smh","unknown","positive"
"296","regardless of however many injuries i will always be incornerbullsnation seered","unknown","positive"
"297","i respectfor what he said about","unknown","positive"
"298","rd times the charm","joy","positive"
"299","chi town til i die","joy","positive"
"300","i feel so bad forsometimes bad things happen to good people forever my favorite player god just has different plans for him","sadness","positive"
"301","rt in sec or this will happen to youretire or you face this one day","unknown","positive"
"302","got tickets for the bulls mavs game at pba heyandhope youre ready for theback bar postgame","joy","negative"
"303","be like","joy","positive"
"304","updatedwiki entry so google had something more accurate when searching bulls drose chicago","unknown","positive"
"305","in the gym working out listening to born sinneryou made me a believer i appreciate yo music ill be supporting june","joy","neutral"
"306","when you hear that d rose is hurt again during a photo shootdrose","unknown","negative"
"307","praying for my boyjust a temporary setback i know hell make it back even stronger","unknown","positive"
"308","hope you get bettercome back stronger","sadness","neutral"
"309","sucks to hear such terrible news my thoughts and prayers go out toand his family get well soon","fear","negative"
"310","chi town til i die","joy","positive"
"311","thehas a meniscus tear in his right knee and needs surgery","sadness","positive"
"312","slap a bandaid on it","unknown","negative"
"313","i really feel bad forgod bless and good luck on a speedy recovery","joy","positive"
"314","god has a plan for all of usget well soon idol","sadness","positive"
"315","this is heartbreakingmuch respect for my mantho","joy","positive"
"316","the only thing stronger then a bulls horns is his hearteven laker fans want to see this return happen best wishes","unknown","positive"
"317","god bless youif anyone knows what youre going through its me stay strong man","sadness","positive"
"318","whats the most important thing in life to me its familyif you take away the fame amp fortune theyre the ones that will alw","unknown","positive"
"319","rt in sec or this will happen to youretire or you face this one day","unknown","positive"
"320","this is heartbreakingmuch respect for my mantho","joy","positive"
"321","i remember exactly where i was when the firstinjury happened thats how memorable of a player he was before all of this","unknown","positive"
"322","our hearts are with youget well soon","unknown","positive"
"323","ay famyou see this yet","unknown","positive"
"324","this is heartbreakingmuch respect for my mantho","joy","positive"
"325","man its really unfortunate what happened toat least the mvp cemented his lagacy as one of the best to play the game get well","sadness","negative"
"326","praying for","unknown","positive"
"327","did you hear the news aboutyesterday reports are its not seasonending so we can rejoice heres to a speedy amp s","joy","neutral"
"328","did you hear the news aboutyesterday reports are its not seasonending so we can rejoice heres to a speedy amp safe recovery","joy","positive"
"329","can i givemy meniscus andmy clavicle","unknown","positive"
"330","stay strong bro","anger","positive"
"331","hang in therein time you will be back tonba fans are pulling for you","fear","positive"
"332","is damaged goods","unknown","positive"
"333","get well soon","sadness","negative"
"334","the new tink tink","unknown","positive"
"335","looking at meniscus injury research should give hope tofans after theinjury","unknown","neutral"
"336","looking at meniscus injury research should give hope tofans after theinjury","unknown","neutral"
